Fx_kalman (N),Fz_kalman (N),My_kalman (Nmm)
10,20,9.813650404
15,25,14.78881468
20,30,19.46243907
25,35,23.45584685
30,40,26.7512729
35,45,31.95430579
40,50,35.51892225
45,55,39.12780484
50,60,43.40064302
55,65,47.1502076
60,70,52.00333462
65,75,54.39745911
70,80,58.86945166
75,85,63.09972059
80,90,66.81321455
85,95,69.76578343
90,100,74.56787208
95,105,77.79075747
100,110,82.89519335
105,115,87.12957115
110,120,91.32688178
115,125,95.31797424
120,130,98.90981933
125,135,102.9212304
130,140,107.5345435
